"bootstrap","Ya0g0","Ya0g1","Ya1g0","Ya1g1","pNDE","tNDE","pNDE_m","tNDE_m","pNIE","tNIE","pNIE_m","tNIE_m","TE","TE_m"
48,0.738363333333333,0.745276666666667,0.809713333333333,0.817363333333333,0.07135,0.0720866666666667,1.0966694568496,1.09677507205017,0.00691333333333333,0.00765,1.00938837668674,1.00946187294008,0.079,1.10702251467191
49,0.71769,0.724633333333333,0.809913333333333,0.820316666666667,0.0922233333333333,0.0956833333333333,1.12853141969774,1.13207645318919,0.00694333333333333,0.0104033333333333,1.00970255959444,1.01286609717744,0.102626666666667,1.14302304419268
50,0.71979,0.72584,0.812796666666667,0.824526666666667,0.0930066666666667,0.0986866666666667,1.12925585155435,1.13602872569391,0.00605,0.01173,1.00844444983781,1.01445511524078,0.104736666666667,1.14555105135881
51,0.735163333333333,0.738356666666667,0.820043333333333,0.82715,0.08488,0.0887933333333333,1.11548132937556,1.12029791961702,0.00319333333333335,0.00710666666666665,1.00437083126277,1.00868472649947,0.0919866666666667,1.1251580025815
52,0.712396666666667,0.71812,0.816586666666667,0.82699,0.10419,0.10887,1.14629267806462,1.15165321471894,0.00572333333333333,0.0104033333333334,1.00807456395756,1.01277156166006,0.114593333333333,1.16088028172084
53,0.717723333333333,0.723033333333333,0.826666666666667,0.835496666666667,0.108943333333333,0.112463333333333,1.15182182948195,1.15559951704333,0.00531,0.00883,1.00742680469562,1.01070262954333,0.117773333333333,1.16411405204528
54,0.76146,0.771706666666667,0.797073333333333,0.809643333333333,0.0356133333333333,0.0379366666666667,1.04679756265067,1.04919972953866,0.0102466666666667,0.01257,1.01348971611375,1.01579741984776,0.0481833333333333,1.06330009913854
55,0.744366666666667,0.751723333333333,0.819163333333333,0.82811,0.0747966666666667,0.0763866666666667,1.10051518262523,1.10164949369739,0.00735666666666665,0.00894666666666666,1.00991837018269,1.01093845385479,0.0837433333333333,1.11253990297882
56,0.721316666666667,0.729343333333333,0.821873333333333,0.831426666666667,0.100556666666667,0.102083333333333,1.1394309373232,1.13999382713221,0.00802666666666669,0.00955333333333334,1.01114828705824,1.01164184963012,0.11011,1.15268137453847
57,0.738053333333333,0.74094,0.83679,0.843533333333333,0.0987366666666667,0.102593333333333,1.13383987962504,1.13849526320022,0.00288666666666668,0.00674333333333332,1.0039568016865,1.0080838056071,0.10548,1.14297014874016
